### Energy [MeV],Low dEdx [MeV*cm2/g],High dEdx [MeV*cm2/g]
0.546,27.0456,53.5561
0.547,27.0456,53.4812
0.548,27.0456,53.4066
0.549,27.0456,53.3321
0.55,27.0456,53.2578
0.551,27.0456,53.1837
0.552,27.0456,53.1098
0.553,27.0456,53.0361
0.554,27.0456,52.9626
0.555,27.0456,52.8893
0.556,27.0456,52.8162
0.557,27.0456,52.7432
0.558,27.0456,52.6705
0.559,27.0456,52.5979
0.56,27.0456,52.5255
0.561,27.0456,52.4534
0.562,27.0456,52.3814
0.563,27.0456,52.3096
0.564,27.0456,52.2379
0.565,27.0456,52.1665
0.566,27.0456,52.0952
0.567,27.0456,52.0242
0.568,27.0456,51.9533
0.569,27.0456,51.8826
0.57,27.0456,51.8121
0.571,27.0456,51.7417
0.572,27.0456,51.6716
0.573,27.0456,51.6016
0.574,27.0456,51.5318
0.575,27.0456,51.4622
0.576,27.0456,51.3928
0.577,27.0456,51.3235
0.578,27.0456,51.2545
0.579,27.0456,51.1856
0.58,27.0456,51.1169
0.581,27.0456,51.0483
0.582,27.0456,50.98
0.583,27.0456,50.9118
0.584,27.0456,50.8438
0.585,27.0456,50.776
0.586,27.0456,50.7083
0.587,27.0456,50.6408
0.588,27.0456,50.5735
0.589,27.0456,50.5064
0.59,27.0456,50.4395
0.591,27.0456,50.3727
0.592,27.0456,50.3061
0.593,27.0456,50.2396
0.594,27.0456,50.1734
0.595,27.0456,50.1073
0.596,27.0456,50.0414
0.597,27.0456,49.9756
0.598,27.0456,49.91
0.599,27.0456,49.8446
0.6,27.0456,49.7794
0.601,27.0456,49.7143
0.602,27.0456,49.6494
0.603,27.0456,49.5847
0.604,27.0456,49.5201
0.605,27.0456,49.4557
0.606,27.0456,49.3914
0.607,27.0456,49.3268
0.608,27.0456,49.2616
0.609,27.0456,49.1966
0.61,27.0456,49.1318
0.611,27.0456,49.0671
0.612,27.0456,49.0026
0.613,27.0456,48.9383
0.614,27.0456,48.8741
0.615,27.0456,48.8101
0.616,27.0456,48.7462
0.617,27.0456,48.6826
0.618,27.0456,48.619
0.619,27.0456,48.5557
0.62,27.0456,48.4925
0.621,27.0456,48.4295
0.622,27.0456,48.3666
0.623,27.0456,48.3039
0.624,27.0456,48.2414
0.625,27.0456,48.179
0.626,27.0456,48.1167
0.627,27.0456,48.0547
0.628,27.0456,47.9928
0.629,27.0456,47.931
0.63,27.0456,47.8694
0.631,27.0456,47.808
0.632,27.0456,47.7467
0.633,27.0456,47.6856
0.634,27.0456,47.6246
0.635,27.0456,47.5638
0.636,27.0456,47.5032
0.637,27.0456,47.4427
0.638,27.0456,47.3823
0.639,27.0456,47.3221
0.64,27.0456,47.2621
0.641,27.0456,47.2022
0.642,27.0456,47.1424
0.643,27.0456,47.0829
0.644,27.0456,47.0234
0.645,27.0456,46.9641
0.646,27.0456,46.905
0.647,27.0456,46.846
0.648,27.0456,46.7872
0.649,27.0456,46.7285
0.65,27.0456,46.6699
0.651,27.0456,46.6115
0.652,27.0456,46.5533
0.653,27.0456,46.4952
0.654,27.0456,46.4372
0.655,27.0456,46.3794
0.656,27.0456,46.3217
0.657,27.0456,46.2642
0.658,27.0456,46.2068
0.659,27.0456,46.1496
0.66,27.0456,46.0925
0.661,27.0456,46.0356
0.662,27.0456,45.9788
0.663,27.0456,45.9221
0.664,27.0456,45.8656
0.665,27.0456,45.8092
0.666,27.0456,45.7529
0.667,27.0456,45.6968
0.668,27.0456,45.6409
0.669,27.0456,45.585
0.67,27.0456,45.5293
0.671,27.0456,45.4738
0.672,27.0456,45.4184
0.673,27.0456,45.3631
0.674,27.0456,45.308
0.675,27.0456,45.253
0.676,27.0456,45.1981
0.677,27.0456,45.1434
0.678,27.0456,45.0888
0.679,27.0456,45.0343
0.68,27.0456,44.98
0.681,27.0456,44.9258
0.682,27.0456,44.8717
0.683,27.0456,44.8178
0.684,27.0456,44.764
0.685,27.0456,44.7103
0.686,27.0456,44.6568
0.687,27.0456,44.6042
0.688,27.0456,44.552
0.689,27.0456,44.5
0.69,27.0456,44.448
0.691,27.0456,44.3962
0.692,27.0456,44.3445
0.693,27.0456,44.2929
0.694,27.0456,44.2415
0.695,27.0456,44.1901
0.696,27.0456,44.1389
0.697,27.0456,44.0878
0.698,27.0456,44.0368
0.699,27.0456,43.9859
0.7,27.0456,43.9352
0.701,27.0456,43.8845
0.702,27.0456,43.834
0.703,27.0456,43.7836
0.704,27.0456,43.7333
0.705,27.0456,43.6845
0.706,27.0456,43.6361
0.707,27.0456,43.5877
0.708,27.0456,43.5395
0.709,27.0456,43.4913
0.71,27.0456,43.4433
0.711,27.0456,43.3954
0.712,27.0456,43.3476
0.713,27.0456,43.2999
0.714,27.0456,43.2523
0.715,27.0456,43.2048
0.716,27.0456,43.1574
0.717,27.0456,43.1101
0.718,27.0456,43.063
0.719,27.0456,43.0159
0.72,27.0456,42.9689
0.721,27.0456,42.9221
0.722,27.0456,42.8753
0.723,27.0456,42.8287
0.724,27.0456,42.7821
0.725,27.0456,42.7357
0.726,27.0456,42.6894
0.727,27.0456,42.6431
0.728,27.0456,42.597
0.729,27.0456,42.552
0.73,27.0456,42.5071
0.731,27.0456,42.4623
0.732,27.0456,42.4176
0.733,27.0456,42.3731
0.734,27.0456,42.3286
0.735,27.0456,42.2842
0.736,27.0456,42.2399
0.737,27.0456,42.1957
0.738,27.0456,42.1516
0.739,27.0456,42.1075
0.74,27.0456,42.0636
0.741,27.0456,42.0198
0.742,27.0456,41.9761
0.743,27.0456,41.9325
0.744,27.0456,41.8889
0.745,27.0456,41.8455
0.746,27.0456,41.8022
0.747,27.0456,41.7589
0.748,27.0456,41.7158
0.749,27.0456,41.6727
0.75,27.0456,41.6298
0.751,27.0456,41.5869
0.752,27.0456,41.5441
0.753,27.0456,41.5014
0.754,27.0456,41.4588
0.755,27.0456,41.4163
0.756,27.0456,41.3739
0.757,27.0456,41.3316
0.758,27.0456,41.2894
0.759,27.0456,41.2473
0.76,27.0456,41.2052
0.761,27.0456,41.1633
0.762,27.0456,41.1214
0.763,27.0456,41.0797
0.764,27.0456,41.038
0.765,27.0456,40.9964
0.766,27.0456,40.9549
0.767,27.0456,40.9135
0.768,27.0456,40.8722
0.769,27.0456,40.8309
0.77,27.0456,40.7898
0.771,27.0456,40.7487
0.772,27.0456,40.7078
0.773,27.0456,40.6669
0.774,27.0456,40.6261
0.775,27.0456,40.5854
0.776,27.0456,40.5448
0.777,27.0456,40.5043
0.778,27.0456,40.4638
0.779,27.0456,40.4235
0.78,27.0456,40.3832
0.781,27.0456,40.343
0.782,27.0456,40.3029
0.783,27.0456,40.2629
0.784,27.0456,40.223
0.785,27.0456,40.1831
0.786,27.0456,40.1434
0.787,27.0456,40.1037
0.788,27.0456,40.0641
0.789,27.0456,40.0246
0.79,27.0456,39.9852
0.791,27.0456,39.9458
0.792,27.0456,39.9066
0.793,27.0456,39.8674
0.794,27.0456,39.8283
0.795,27.0456,39.7893
0.796,27.0456,39.7504
0.797,27.0456,39.7115
0.798,27.0456,39.6728
0.799,27.0456,39.6341
0.8,27.0456,39.5955
0.801,27.0456,39.557
0.802,27.0456,39.5185
0.803,27.0456,39.4802
0.804,27.0456,39.4419
0.805,27.0456,39.4037
0.806,27.0456,39.3656
0.807,27.0456,39.3275
0.808,27.0456,39.2896
0.809,27.0456,39.2517
0.81,27.0456,39.2139
0.811,27.0456,39.1761
0.812,27.0456,39.1385
0.813,27.0456,39.1009
0.814,27.0456,39.0634
0.815,27.0456,39.026
0.816,27.0456,38.9887
0.817,27.0456,38.9514
0.818,27.0456,38.9143
0.819,27.0456,38.8772
0.82,27.0456,38.8401
0.821,27.0456,38.8032
0.822,27.0456,38.7663
0.823,27.0456,38.7295
0.824,27.0456,38.6928
0.825,27.0456,38.6562
0.826,27.0456,38.6196
0.827,27.0456,38.5831
0.828,27.0456,38.5467
0.829,27.0456,38.5103
0.83,27.0456,38.474
0.831,27.0456,38.4378
0.832,27.0456,38.4017
0.833,27.0456,38.3657
0.834,27.0456,38.3297
0.835,27.0456,38.2938
0.836,27.0456,38.258
0.837,27.0456,38.2222
0.838,27.0456,38.1865
0.839,27.0456,38.1509
0.84,27.0456,38.1154
0.841,27.0456,38.0799
0.842,27.0456,38.0445
0.843,27.0456,38.0092
0.844,27.0456,37.9739
0.845,27.0456,37.9388
0.846,27.0456,37.9037
0.847,27.0456,37.8686
0.848,27.0456,37.8347
0.849,27.0456,37.8017
0.85,27.0456,37.7688
0.851,27.0456,37.7359
0.852,27.0456,37.7031
0.853,27.0456,37.6703
0.854,27.0456,37.6376
0.855,27.0456,37.6049
0.856,27.0456,37.5723
0.857,27.0456,37.5398
0.858,27.0456,37.5073
0.859,27.0456,37.4748
0.86,27.0456,37.4424
0.861,27.0456,37.4101
0.862,27.0456,37.3778
0.863,27.0456,37.3456
0.864,27.0456,37.3135
0.865,27.0456,37.2813
0.866,27.0456,37.2493
0.867,27.0456,37.2173
0.868,27.0456,37.1853
0.869,27.0456,37.1534
0.87,27.0456,37.1216
0.871,27.0456,37.0898
0.872,27.0456,37.0581
0.873,27.0456,37.0264
0.874,27.0456,36.9948
0.875,27.0456,36.9632
0.876,27.0456,36.9317
0.877,27.0456,36.9002
0.878,27.0456,36.8688
0.879,27.0456,36.8374
0.88,27.0456,36.8061
0.881,27.0456,36.7749
0.882,27.0456,36.7437
0.883,27.0456,36.7125
0.884,27.0456,36.6814
0.885,27.0456,36.6504
0.886,27.0456,36.6194
0.887,27.0456,36.5884
0.888,27.0456,36.5576
0.889,27.0456,36.5267
0.89,27.0456,36.4959
0.891,27.0456,36.4652
0.892,27.0456,36.4345
0.893,27.0456,36.4039
0.894,27.0456,36.3733
0.895,27.0456,36.3428
0.896,27.0456,36.3123
0.897,27.0456,36.2819
0.898,27.0456,36.2515
0.899,27.0456,36.2212
0.9,27.0456,36.1909
0.901,27.0456,36.1607
0.902,27.0456,36.1305
0.903,27.0456,36.1004
